id,day,date,teamid,net_profit,trading_profit,operating_exp,sales,cash_on_hand
31,0,,400917,,,0,0,1500000
32,0,,400918,,,0,0,1500000
33,0,,400919,,,0,0,1500000
34,1,2025-01-01,400917,-2800,0,2800,0,1497200
35,1,2025-01-01,400918,-2800,0,2800,0,1497200
36,1,2025-01-01,400919,-2800,0,2800,0,1497200
37,2,2025-01-02,400917,-396160,0,396160,0,1103840
38,2,2025-01-02,400918,-197660,0,197660,0,1302340
39,2,2025-01-02,400919,-454250,0,454250,0,1045750
40,3,2025-01-03,400917,-315922,116598,432520,187264,544744
41,3,2025-01-03,400918,-224236,53284,277520,84428,821908
42,3,2025-01-03,400919,-376534,112090,489583,177944,143361
43,4,2025-01-04,400917,-189745,286635,476380,458110,602730
44,4,2025-01-04,400918,-175005,122375,297380,195654,792274
45,4,2025-01-04,400919,-293898,230130,524507,375239,55732
46,5,2025-01-05,400917,595353,1122050,527040,1828618,1811921
47,5,2025-01-05,400918,237333,554537,317440,894398,1250194
48,5,2025-01-05,400919,263964,822168,558357,1414976,811772
49,6,2025-01-06,400917,1420543,1997700,577500,3266379,2450222
50,6,2025-01-06,400918,613937,951001,337300,1593157,1441093
51,6,2025-01-06,400919,788089,1380006,592070,2506218,1539301
52,7,2025-01-07,400917,1608673,2239866,631536,3663891,2170698
53,7,2025-01-07,400918,655957,1013381,357660,1712045,1325621
54,7,2025-01-07,400919,832390,1458057,625820,2702304,1390637
55,8,2025-01-08,400917,1719312,2467841,748872,4037049,2124520
56,8,2025-01-08,400918,498290,1080808,582754,1844337,453819
57,8,2025-01-08,400919,869896,1530313,660570,2884855,1092438
58,9,2025-01-09,400917,2320749,3135218,814812,5122682,2940213
59,9,2025-01-09,400918,923386,1547498,624348,2685936,662824
60,9,2025-01-09,400919,1170266,1879433,709320,3780001,1873834
61,10,2025-01-10,400917,3012655,3899948,888452,6383269,3842976
62,10,2025-01-10,400918,1361956,2031217,669809,3616627,1467366
63,10,2025-01-10,400919,1461599,2233306,772362,4689020,2363313
64,11,2025-01-11,400917,3244214,4213047,969992,6915339,4002506
65,11,2025-01-11,400918,1450839,2165116,714825,3864061,1558784
66,11,2025-01-11,400919,1464239,2301532,837948,4877240,2191947
67,12,2025-01-12,400917,3465780,4515853,1051232,7412440,4143367
68,12,2025-01-12,400918,1533004,2292101,759645,4104069,1571972
69,12,2025-01-12,400919,1468286,2370577,902946,5069060,2140769
70,13,2025-01-13,400917,3700476,4832489,1133172,7917002,4057589
71,13,2025-01-13,400918,1624352,2436269,812465,4372716,1704599
72,13,2025-01-13,400919,1527603,2494500,967552,5385511,1906614
73,14,2025-01-14,400917,3924439,5138392,1215112,8416020,4067667
74,14,2025-01-14,400918,1723365,2593602,870785,4673872,1777435
75,14,2025-01-14,400919,1594414,2625476,1031717,5723373,1980311
76,15,2025-01-15,400917,4797976,6095278,1299552,10000955,5569253
77,15,2025-01-15,400918,2183104,3147844,965805,5824437,2637497
78,15,2025-01-15,400919,1879546,2972695,1094367,6681174,2876025
79,16,2025-01-16,400917,6027853,7410095,1384492,12110778,6484236
80,16,2025-01-16,400918,2945819,4010379,1065625,7562597,3735637
81,16,2025-01-16,400919,2796090,3976315,1181443,8715574,2886349
82,17,2025-01-17,400917,7285423,8769533,1486360,14242603,6893193
83,17,2025-01-17,400918,3434521,4562901,1129445,8698566,4656786
84,17,2025-01-17,400919,3560125,4892800,1333893,10556074,4574399
85,18,2025-01-18,400917,7525125,9119559,1596684,14785286,7325552
86,18,2025-01-18,400918,3472534,4671734,1200265,8928958,4636358
87,18,2025-01-18,400919,3646083,5135569,1490704,11048174,4185688
88,19,2025-01-19,400917,7773585,9491379,1720044,15382111,7544317
89,19,2025-01-19,400918,3504974,4774994,1271085,9133466,4463916
90,19,2025-01-19,400919,3807770,5456671,1650119,11679874,3701973
91,20,2025-01-20,400917,7995788,9848899,1856572,15965225,7895114
92,20,2025-01-20,400918,3539320,4936669,1399105,9416446,4502567
93,20,2025-01-20,400919,3943026,5749456,1808215,12263269,3693839
94,21,2025-01-21,400917,8200829,10193394,1996026,16542353,8046588
95,21,2025-01-21,400918,3505294,5067463,1563925,9644363,4317664
96,21,2025-01-21,400919,4069421,6032501,1964865,12830184,4054104
97,22,2025-01-22,400917,9218807,11346396,2131050,18479479,9780690
98,22,2025-01-22,400918,3877505,5628494,1752745,10692040,5031521
99,22,2025-01-22,400919,4930314,7045844,2117315,14869949,5902419
100,23,2025-01-23,400917,9382186,11649932,2271207,18979047,9548701
101,23,2025-01-23,400918,3875049,5814858,1941565,11047443,4524104
102,23,2025-01-23,400919,5047460,7416416,2370741,15434969,5208013
103,24,2025-01-24,400917,9548022,11970451,2425890,19510288,9648459
104,24,2025-01-24,400918,3877558,6006187,2130385,11412733,4428574
105,24,2025-01-24,400919,5102467,7788216,2687534,15994169,4712420
106,25,2025-01-25,400917,9724515,12320113,2600175,20098462,9812864
107,25,2025-01-25,400918,3921876,6224051,2304405,11806948,4168713
108,25,2025-01-25,400919,5030107,8166438,3138613,16571069,4374938
109,26,2025-01-26,400917,10667816,13477354,2814115,22046003,11417665
110,26,2025-01-26,400918,5106897,7610892,2506225,14201347,6116292
111,26,2025-01-26,400919,5843758,9766210,3924734,19086689,6104437
112,27,2025-01-27,400917,11436200,14459678,3028055,23708057,12516979
113,27,2025-01-27,400918,5752165,8457980,2708045,15698403,7065528
114,27,2025-01-27,400919,6792126,11497476,4707632,21815789,7627639
115,28,2025-01-28,400917,11469202,14706620,3241995,24103683,12281465
116,28,2025-01-28,400918,5763575,8621210,2859865,15949242,6676547
117,28,2025-01-28,400919,6420531,11908655,5490406,22468524,6845600
118,29,2025-01-29,400917,12193187,15644545,3455935,25737185,13510027
119,29,2025-01-29,400918,6544415,9553870,3011685,17462619,7739104
120,29,2025-01-29,400919,7151679,13562253,6412856,25165089,8050715
121,30,2025-01-30,400917,12029463,15693603,3670075,25839009,13399069
122,30,2025-01-30,400918,6562389,9695069,3135705,17687529,7840789
123,30,2025-01-30,400919,6521345,13853798,7335506,25642681,7606428
